age,qx
0,0.0007497188202992833
1,0.0007542154364472697
2,0.0007591167250000641
3,0.0007644591021390701
4,0.0007702822606863169
5,0.0007766294648489103
6,0.0007835478714619537
7,0.0007910888801079263
8,0.0007993085147069978
9,0.0008082678394022436
10,0.000818033411815966
11,0.0008286777770319942
12,0.0008402800059545967
13,0.0008529262820236028
14,0.0008667105406193754
15,0.0008817351658780836
16,0.0008981117500587166
17,0.000915961921061359
18,0.0009354182441944081
19,0.0009566252048286428
20,0.000979740279169805
21,0.0010049351010172902
22,0.001032396733077423
23,0.0010623290521550866
24,0.0010949542583711391
25,0.0011305145194491217
26,0.0011692737620814242
27,0.001211519623445123
28,0.0012575655770772354
29,0.001307753248562471
30,0.001362454937831159
31,0.001422076366325964
32,0.0014870596688706383
33,0.0015578866517897971
34,0.0016350823406735548
35,0.001719218843183934
36,0.001810919554455781
37,0.0019108637349782853
38,0.0020197914933530736
39,0.0021385092090304703
40,0.0022678954330332957
41,0.0024089073078024104
42,0.0025625875506465334
43,0.0027300720488646624
44,0.0029125981184380256
45,0.0031115134822732315
46,0.0033282860283143645
47,0.0035645144124449857
48,0.003821939575962441
49,0.004102457252523006
50,0.004408131544817118
51,0.0047412096568260065
52,0.0051041378733004406
53,0.0054995788840604964
54,0.005930430556783217
55,0.006399846268067777
56,0.006911256908649022
57,0.007468394684568835
58,0.008075318841768042
59,0.008736443446761943
60,0.009456567360597967
61,0.010240906546899797
62,0.011095128857170566
63,0.012025391437260446
64,0.013038380897556157
65,0.014141356385438009
66,0.01534219569123585
67,0.016649444507481292
68,0.01807236894477149
69,0.019621011384917675
70,0.021306249721935844
71,0.023139860002328483
72,0.025134582426218577
73,0.02730419060816347
74,0.02966356391852254
75,0.032228762630343466
76,0.03501710547975523
77,0.03804724910630386
78,0.04133926866958748
79,0.044914738735563065
80,0.04879681328521379
81,0.053010303414666615
82,0.05758175096384244
83,0.06253949592454533
84,0.06791373503282838
85,0.07373656843896126
86,0.08004203076645988
87,0.08686610221560309
88,0.09424669463460122
89,0.10222360667373431
90,0.1108384412587321
91,0.1201344776790747
92,0.1301564896013655
93,0.14095049931326797
94,0.152563457517226
95,0.16504283707757184
96,0.17843612835008937
97,0.1927902231818942
98,0.2081506744795889
99,0.2245608185524034
100,0.2420607484242484
101,0.26068612818836356
102,0.28046684149843604
103,0.3014254717284761
104,0.3235756174890322
105,0.34692005536286796
106,0.37144877220147887
107,0.39713690232875576
108,0.42394262064313093
109,0.4518050608291184
110,1.0
